Data,Polaridade,Subjetividade,qtde
20140924,0.5,3.0,2
20140925,1.0666666666666669,7.433333333333334,6
20140926,0.4444444444444444,2.833333333333333,2
20140929,0.925,2.6833333333333336,2
20140930,0.15,1.3444444444444443,1
20141001,-0.05,1.05,1
20141002,-0.2,1.4,1
20141003,0.0,1.6,1
20141006,0.525,5.449999999999999,4
20141007,0.0,1.0,1
20141008,0.1666666666666667,1.5833333333333335,1
20141009,0.9,3.45,2
20141010,1.1363636363636365,2.8,2
20141011,0.1363636363636364,1.5,1
20141012,1.3068181818181819,7.0,4
20141013,0.0,1.0,1
20141014,0.15,1.65,1
20141015,0.2166666666666667,2.6,2
20141016,0.5,3.0,2
20141017,0.0,1.0,1
20141019,0.0,1.0,1
20141020,-0.1666666666666667,1.6666666666666665,1
20141021,0.1363636363636364,2.4545454545454546,2
20141022,0.0,1.0,1
20141023,1.0287878787878788,3.5999999999999996,3
20141024,0.0,1.0,1
20141027,0.05,1.3,1
20141028,0.0,1.0,1
20141029,-0.09375,2.3,2
20141030,0.0,1.0,1
20141031,0.25,3.0,2
20141103,0.5833333333333333,5.0,4
20141104,1.0333333333333332,3.033333333333333,2
20141105,1.9704545454545455,7.766666666666667,5
20141106,1.725,3.4000000000000004,2
20141107,0.8875,4.56875,3
20141110,0.0,1.5,1
20141111,-0.05,1.85,1
20141112,0.35,2.75,2
20141113,0.009374999999999994,2.6052083333333336,2
20141114,0.3,1.6,1
20141117,1.3875,6.9,4
20141118,0.0,1.0,1
20141119,0.0,1.0,1
20141120,0.0,1.0,1
20141121,0.54,3.7079166666666667,3
20141124,0.0,1.0,1
20141125,-0.2,1.3,1
20141126,0.0,2.0,2
20141127,0.575,2.875,2
20141128,0.0,2.0,2
20141201,0.35,7.15,6
20141202,3.896742424242423,40.83,29
20141203,1.4,7.699999999999999,6
20141204,0.5863636363636364,4.5,3
20141205,3.7691540404040405,36.3259595959596,27
20141208,0.4,4.333333333333334,3
20141209,0.6,3.6,3
20141210,0.6218750000000001,4.3375,3
20141211,0.35,1.55,1
20141212,0.25,3.0,2
20141215,0.375,2.0,1
20141216,0.85,3.5833333333333335,2
20141217,0.3571428571428572,1.5714285714285714,1
20141218,0.2467532467532468,1.5357142857142856,1
20141219,0.5,2.0,1
20141222,0.25,1.25,1
20141223,0.0,1.0666666666666667,1
20141224,0.7124999999999999,1.4875,1
20141225,0.0,1.0,1
20141226,0.625,1.6,1
20141229,0.55,6.583333333333333,4
20141230,0.5333333333333333,1.5,1
20141231,0.2121212121212121,1.3598484848484849,1
20150101,0.0,2.0,2
20150102,0.6,3.65,2
20150105,-0.16666666666666666,5.3999999999999995,4
20150106,0.4967532467532468,4.762987012987013,4
20150107,1.9722222222222223,5.444444444444445,4
20150108,4.740252525252526,23.977777777777778,14
20150109,1.65,7.166666666666667,4
20150112,2.7325757575757574,11.403030303030302,8
20150113,0.9,5.6,4
20150114,0.2666666666666666,7.266666666666666,6
20150115,1.3,5.5,4
20150116,1.5416666666666665,8.333333333333332,6
20150119,1.7543650793650793,13.646031746031747,8
20150121,1.4,12.1,10
20150122,-0.025000000000000022,5.375,4
20150123,0.0,2.0,2
20150126,0.9333333333333333,8.522222222222222,6
20150127,0.0,4.0,4
20150128,2.925,16.85,10
20150129,0.65,5.116666666666667,4
20150130,0.675,24.40833333333333,20
20150131,0.4666666666666666,6.95,6
20150201,2.670833333333334,58.84166666666666,42
20150202,-0.5303030303030304,32.50454545454545,24
20150203,4.1460606060606064,44.14242424242425,32
20150204,4.975851370851373,62.600483405483395,46
20150205,1.5404761904761906,33.27142857142857,22
20150206,1.12,20.788333333333334,16
20150207,1.0,3.0,2
20150208,0.0,2.0,2
20150209,1.272727272727273,6.909090909090909,4
20150210,1.275,8.6,6
20150211,3.5547619047619055,57.039285714285725,40
20150212,2.666666666666667,18.0,12
20150213,1.9,9.5,6
20150216,1.4909090909090912,5.236363636363636,4
20150217,1.0,7.199999999999999,4
20150218,0.0,4.0,4
20150219,1.2999999999999998,8.3,6
20150220,2.5,6.4,4
20150223,2.7030303030303027,18.212878787878786,12
20150224,2.5,18.183333333333334,12
20150225,1.0,3.2,2
20150226,-0.050000000000000044,10.6,8
20150227,2.272727272727273,6.909090909090909,4
20150302,0.7,5.1,4
